Simulation,Round,Matchup,Winner
1,Game 1,St. Francis (PA) vs Alabama State,St. Francis (PA)
1,Game 2,North Carolina vs San Diego State,North Carolina
1,Game 3,Mount St. Mary's vs American University,Mount St. Mary's
1,Game 4,Xavier vs Texas,Xavier
1,Game 6,Louisville vs Creighton,Creighton
1,Game 7,Michigan vs UC San Diego,UC San Diego
1,Game 8,Texas A&M vs Yale,Texas A&M
1,Game 10,Iowa State vs Lipscomb,Iowa State
1,Game 11,Marquette vs New Mexico,Marquette
1,Game 12,Michigan State vs Bryant,Michigan State
1,Game 13,Florida vs Norfolk State,Norfolk State
1,Game 15,Memphis vs Colorado State,Colorado State
1,Game 16,Maryland vs Grand Canyon,Grand Canyon
1,Game 17,Missouri vs Drake,Drake
1,Game 18,Texas Tech vs UNC Wilmington,UNC Wilmington
1,Game 19,Kansas vs Arkansas,Arkansas
1,Game 20,St. John's vs Omaha,Omaha
1,Game 22,Mississippi State vs Baylor,Mississippi State
1,Game 23,Oregon vs Liberty,Oregon
1,Game 24,Arizona vs Akron,Arizona
1,Game 25,BYU vs VCU,VCU
1,Game 26,Wisconsin vs Montana,Montana
1,Game 27,Saint Mary's vs Vanderbilt,Saint Mary's
1,Game 28,Alabama vs Robert Morris,Robert Morris
1,Game 29,Houston vs SIU Edwardsville,Houston
1,Game 30,Gonzaga vs Georgia,Gonzaga
1,Game 31,Clemson vs McNeese,Clemson
1,Game 32,Purdue vs High Point,High Point
2,Game 1,St. Francis (PA) vs Alabama State,St. Francis (PA)
2,Game 2,North Carolina vs San Diego State,North Carolina
2,Game 3,Mount St. Mary's vs American University,Mount St. Mary's
2,Game 4,Xavier vs Texas,Xavier
2,Game 6,Louisville vs Creighton,Louisville
2,Game 7,Michigan vs UC San Diego,Michigan
2,Game 8,Texas A&M vs Yale,Texas A&M
2,Game 10,Iowa State vs Lipscomb,Iowa State
2,Game 11,Marquette vs New Mexico,Marquette
2,Game 12,Michigan State vs Bryant,Bryant
2,Game 13,Florida vs Norfolk State,Norfolk State
2,Game 15,Memphis vs Colorado State,Colorado State
2,Game 16,Maryland vs Grand Canyon,Maryland
2,Game 17,Missouri vs Drake,Missouri
2,Game 18,Texas Tech vs UNC Wilmington,UNC Wilmington
2,Game 19,Kansas vs Arkansas,Kansas
2,Game 20,St. John's vs Omaha,Omaha
2,Game 22,Mississippi State vs Baylor,Baylor
2,Game 23,Oregon vs Liberty,Liberty
2,Game 24,Arizona vs Akron,Akron
2,Game 25,BYU vs VCU,BYU
2,Game 26,Wisconsin vs Montana,Wisconsin
2,Game 27,Saint Mary's vs Vanderbilt,Saint Mary's
2,Game 28,Alabama vs Robert Morris,Robert Morris
2,Game 29,Houston vs SIU Edwardsville,Houston
2,Game 30,Gonzaga vs Georgia,Georgia
2,Game 31,Clemson vs McNeese,McNeese
2,Game 32,Purdue vs High Point,High Point
3,Game 1,St. Francis (PA) vs Alabama State,Alabama State
3,Game 2,North Carolina vs San Diego State,North Carolina
3,Game 3,Mount St. Mary's vs American University,American University
3,Game 4,Xavier vs Texas,Xavier
3,Game 6,Louisville vs Creighton,Creighton
3,Game 7,Michigan vs UC San Diego,UC San Diego
3,Game 8,Texas A&M vs Yale,Yale
3,Game 10,Iowa State vs Lipscomb,Lipscomb
3,Game 11,Marquette vs New Mexico,New Mexico
3,Game 12,Michigan State vs Bryant,Bryant
3,Game 13,Florida vs Norfolk State,Florida
3,Game 15,Memphis vs Colorado State,Colorado State
3,Game 16,Maryland vs Grand Canyon,Grand Canyon
3,Game 17,Missouri vs Drake,Drake
3,Game 18,Texas Tech vs UNC Wilmington,Texas Tech
3,Game 19,Kansas vs Arkansas,Kansas
3,Game 20,St. John's vs Omaha,Omaha
3,Game 22,Mississippi State vs Baylor,Mississippi State
3,Game 23,Oregon vs Liberty,Oregon
3,Game 24,Arizona vs Akron,Arizona
3,Game 25,BYU vs VCU,VCU
3,Game 26,Wisconsin vs Montana,Montana
3,Game 27,Saint Mary's vs Vanderbilt,Saint Mary's
3,Game 28,Alabama vs Robert Morris,Robert Morris
3,Game 29,Houston vs SIU Edwardsville,SIU Edwardsville
3,Game 30,Gonzaga vs Georgia,Gonzaga
3,Game 31,Clemson vs McNeese,Clemson
3,Game 32,Purdue vs High Point,High Point
4,Game 1,St. Francis (PA) vs Alabama State,St. Francis (PA)
4,Game 2,North Carolina vs San Diego State,San Diego State
4,Game 3,Mount St. Mary's vs American University,Mount St. Mary's
4,Game 4,Xavier vs Texas,Xavier
4,Game 6,Louisville vs Creighton,Louisville
4,Game 7,Michigan vs UC San Diego,UC San Diego
4,Game 8,Texas A&M vs Yale,Yale
4,Game 10,Iowa State vs Lipscomb,Lipscomb
4,Game 11,Marquette vs New Mexico,New Mexico
4,Game 12,Michigan State vs Bryant,Michigan State
4,Game 13,Florida vs Norfolk State,Florida
4,Game 15,Memphis vs Colorado State,Colorado State
4,Game 16,Maryland vs Grand Canyon,Maryland
4,Game 17,Missouri vs Drake,Missouri
4,Game 18,Texas Tech vs UNC Wilmington,UNC Wilmington
4,Game 19,Kansas vs Arkansas,Arkansas
4,Game 20,St. John's vs Omaha,Omaha
4,Game 22,Mississippi State vs Baylor,Baylor
4,Game 23,Oregon vs Liberty,Oregon
4,Game 24,Arizona vs Akron,Akron
4,Game 25,BYU vs VCU,BYU
4,Game 26,Wisconsin vs Montana,Montana
4,Game 27,Saint Mary's vs Vanderbilt,Saint Mary's
4,Game 28,Alabama vs Robert Morris,Robert Morris
4,Game 29,Houston vs SIU Edwardsville,SIU Edwardsville
4,Game 30,Gonzaga vs Georgia,Gonzaga
4,Game 31,Clemson vs McNeese,McNeese
4,Game 32,Purdue vs High Point,High Point
5,Game 1,St. Francis (PA) vs Alabama State,St. Francis (PA)
5,Game 2,North Carolina vs San Diego State,San Diego State
5,Game 3,Mount St. Mary's vs American University,American University
5,Game 4,Xavier vs Texas,Xavier
5,Game 6,Louisville vs Creighton,Creighton
5,Game 7,Michigan vs UC San Diego,UC San Diego
5,Game 8,Texas A&M vs Yale,Yale
5,Game 10,Iowa State vs Lipscomb,Lipscomb
5,Game 11,Marquette vs New Mexico,Marquette
5,Game 12,Michigan State vs Bryant,Bryant
5,Game 13,Florida vs Norfolk State,Florida
5,Game 15,Memphis vs Colorado State,Memphis
5,Game 16,Maryland vs Grand Canyon,Grand Canyon
5,Game 17,Missouri vs Drake,Missouri
5,Game 18,Texas Tech vs UNC Wilmington,UNC Wilmington
5,Game 19,Kansas vs Arkansas,Kansas
5,Game 20,St. John's vs Omaha,St. John's
5,Game 22,Mississippi State vs Baylor,Mississippi State
5,Game 23,Oregon vs Liberty,Liberty
5,Game 24,Arizona vs Akron,Arizona
5,Game 25,BYU vs VCU,BYU
5,Game 26,Wisconsin vs Montana,Wisconsin
5,Game 27,Saint Mary's vs Vanderbilt,Vanderbilt
5,Game 28,Alabama vs Robert Morris,Robert Morris
5,Game 29,Houston vs SIU Edwardsville,Houston
5,Game 30,Gonzaga vs Georgia,Georgia
5,Game 31,Clemson vs McNeese,Clemson
5,Game 32,Purdue vs High Point,High Point
