,0
Adjusted Tempo,-0.0
Adjusted Offensive Efficiency,-0.0
Adjusted Defensive Efficiency,0.0
Avg Possession Length (Offense),-0.0
Avg Possession Length (Defense),0.02133083944087756
eFGPct,0.0
TOPct,0.0
ORPct,-0.4245164983587356
FTRate,0.0
OffFT,0.0
Off2PtFG,-0.0
Off3PtFG,0.0
DefFT,0.0
Def2PtFG,-0.0
Def3PtFG,0.0
AdjOE,-0.0
AdjDE,0.0
AdjEM,-13.75012371915226
FG2Pct,0.0
FG3Pct,0.0
FTPct,0.0
BlockPct,-0.0
OppFG2Pct,-0.0
OppFG3Pct,0.3081006508024418
OppBlockPct,-0.0
FG3Rate,0.028069879623025946
OppFG3Rate,0.0
ARate,0.7095119050310572
OppARate,-0.0
StlRate,-0.03949731514824062
