Round,Metric,Mean,Min,Max,95% CI Low,95% CI Upper
Champion,ORPct,36.4,28.2,41.6,34.8,38.0
Champion,ARate,56.7,48.4,65.9,54.7,58.7
Champion,OppFG3Pct,31.6,28.3,34.1,30.9,32.4
Champion,FG3Rate,33.3,25.2,47.5,30.7,35.9
Champion,StlRate,0.1,0.1,0.2,0.1,0.1
Champion,AdjEM,30.6,22.1,36.4,28.9,32.2
Runner-Up,ORPct,34.1,25.5,41.9,32.3,36.0
Runner-Up,ARate,55.3,44.4,66.6,53.2,57.5
Runner-Up,OppFG3Pct,32.8,28.3,37.5,31.7,33.8
Runner-Up,FG3Rate,33.9,22.9,43.2,31.9,35.9
Runner-Up,StlRate,0.1,0.1,0.1,0.1,0.1
Runner-Up,AdjEM,27.0,16.5,36.5,24.9,29.1
Final Four,ORPct,35.5,22.1,42.4,34.1,36.8
Final Four,ARate,55.4,48.0,66.8,54.1,56.7
Final Four,OppFG3Pct,32.3,27.1,36.5,31.8,32.9
Final Four,FG3Rate,33.9,21.6,49.6,31.7,36.0
Final Four,StlRate,0.1,0.1,0.1,0.1,0.1
Final Four,AdjEM,24.6,13.5,36.9,23.2,26.0
Elite 8,ORPct,34.6,25.3,42.5,33.8,35.4
Elite 8,ARate,55.2,45.8,66.6,54.4,56.1
Elite 8,OppFG3Pct,32.4,28.0,36.9,32.0,32.8
Elite 8,FG3Rate,33.8,19.4,45.9,32.8,34.9
Elite 8,StlRate,0.1,0.1,0.1,0.1,0.1
Elite 8,AdjEM,23.8,7.2,32.9,22.8,24.7
Sweet 16,ORPct,33.8,22.7,42.0,33.2,34.4
Sweet 16,ARate,55.7,39.2,68.9,54.9,56.5
Sweet 16,OppFG3Pct,32.7,26.5,38.0,32.4,33.1
Sweet 16,FG3Rate,34.3,19.6,51.4,33.4,35.1
Sweet 16,StlRate,0.1,0.1,0.2,0.1,0.1
Sweet 16,AdjEM,21.3,4.8,34.2,20.6,22.0
Round of 32,ORPct,33.5,17.7,43.8,33.0,33.9
Round of 32,ARate,55.7,42.0,70.2,55.2,56.3
Round of 32,OppFG3Pct,32.9,27.7,38.8,32.7,33.1
Round of 32,FG3Rate,34.1,18.6,53.5,33.5,34.7
Round of 32,StlRate,0.1,0.1,0.2,0.1,0.1
Round of 32,AdjEM,17.5,-8.4,31.8,17.0,18.1
Round of 64,ORPct,32.4,19.2,45.3,32.1,32.7
Round of 64,ARate,54.8,37.9,72.2,54.4,55.2
Round of 64,OppFG3Pct,33.4,26.4,40.6,33.2,33.5
Round of 64,FG3Rate,34.7,19.4,53.2,34.3,35.1
Round of 64,StlRate,0.1,0.1,0.2,0.1,0.1
Round of 64,AdjEM,10.0,-15.2,29.5,9.4,10.6
